#uwb_timestamp  uwb_distance imu_timestamp imu_yaw
1616395176.275 9.18 1616395176.271949 1.037598240115833
1616395176.376 9.210000000000001 1616395176.368203 1.086118393312167
1616395176.475 9.210000000000001 1616395176.480336 1.126086433175333
1616395176.575 9.27 1616395176.576174 1.186300292357833
1616395176.675 9.27 1616395176.672291 1.228711793173333
1616395176.775 9.33 1616395176.768021 1.292067245008833
1616395176.875 9.199999999999999 1616395176.880093 1.258905989227167
1616395176.975 9.140000000000001 1616395176.976173 1.129228025828333
1616395177.076 9.18 1616395177.071869 1.033933048687333
1616395177.175 9.16 1616395177.181654 0.9210102461045
1616395177.275 9.1 1616395177.273879 0.8244935384873333
1616395177.375 9.140000000000001 1616395177.369012 0.6700318997148333
1616395177.476 9.06 1616395177.47676 0.6272713330490001
1616395177.575 9.08 1616395177.581517 0.4014257278833333
1616395177.674 9.039999999999999 1616395177.670652 0.3300417614901667
1616395177.775 9.06 1616395177.78077 0.2577851304711667
1616395177.874 9.07 1616395177.870559 0.159174027752
1616395177.975 9.029999999999999 1616395177.975586 0.05410520680166667
1616395178.075 9.050000000000001 1616395178.080617 -0.06003932625733334
1616395178.175 9.050000000000001 1616395178.171353 -0.1415462023101667
1616395178.275 9.039999999999999 1616395178.276507 -0.192684349384
1616395178.374 8.960000000000001 1616395178.382325 -0.3628539514215
1616395178.475 9.02 1616395178.476857 -0.3642502148228333
1616395178.575 9.039999999999999 1616395178.571655 -0.3143337982251667
1616395178.675 9.07 1616395178.681822 -0.2584832621718334
1616395178.775 9.09 1616395178.774983 -0.2171189589073333
1616395178.875 9.119999999999999 1616395178.870152 -0.1932079481595
1616395178.975 9.19 1616395178.982224 -0.1658062789083333
1616395179.075 9.23 1616395179.077938 -0.1370083462558333
1616395179.175 9.24 1616395179.17386 -0.103672557549
1616395179.275 9.34 1616395179.269172 -0.05096361414866667
1616395179.375 9.35 1616395179.380861 -0.0001745329251666667
1616395179.476 9.43 1616395179.476322 0.04468042884266667
1616395179.575 9.52 1616395179.572145 0.0790634151005
1616395179.675 9.49 1616395179.667891 0.09913470149466666
1616395179.775 9.529999999999999 1616395179.779858 0.1368338133306667
1616395179.875 9.59 1616395179.876314 0.1682497398606667
1616395179.976 9.6 1616395179.970567 0.2078687138735
1616395180.075 9.66 1616395180.067109 0.243997029383
1616395180.176 9.640000000000001 1616395180.178697 0.273318560811
1616395180.275 9.68 1616395180.275103 0.2663372438043333
1616395180.375 9.710000000000001 1616395180.37078 0.2946115776813333
1616395180.475 9.789999999999999 1616395180.466863 0.3054326190416667
1616395180.665 9.890000000000001 1616395180.659319 0.4455825579505
1616395180.776 9.94 1616395180.770623 0.5222025120986666
1616395180.965 10.01 1616395180.96182 0.609468974682
1616395181.076 10.05 1616395181.073765 0.6291911952258333
1616395181.176 10.05 1616395181.183756 0.6457718231166667
1616395181.276 10.13 1616395181.280123 0.683820000803
1616395181.377 10.15 1616395181.376079 0.7244861723668333
1616395181.475 10.19 1616395181.471807 0.7588691586246666
1616395181.576 10.13 1616395181.58399 0.7991862643381666
1616395181.766 10.29 1616395181.759896 0.8627162490988334
1616395181.876 10.28 1616395181.871893 0.8958775048805
1616395181.976 10.35 1616395181.983931 0.9450957897775
1616395182.076 10.33 1616395182.079991 0.8602727881465
1616395182.178 10.25 1616395182.177985 0.7173303224349999
1616395182.276 10.21 1616395182.283346 0.6736970911433333
1616395182.377 10.18 1616395182.373359 0.5384340741391667
1616395182.478 10.18 1616395182.477392 0.4452334921001667
1616395182.575 10.19 1616395182.582406 0.334056018769
1616395182.675 10.16 1616395182.673363 0.2497566159135
1616395182.775 10.19 1616395182.778349 0.09128071986216667
1616395182.875 10.17 1616395182.870294 0.004188790204
1616395183.072 10.15 1616395183.065206 -0.195825942037
1616395183.176 10.16 1616395183.170624 -0.3166027262523333
1616395183.372 10.11 1616395183.373681 -0.5715953299208334
1616395183.477 10.04 1616395183.484961 -0.6976081018911666
1616395183.575 10.13 1616395183.577352 -0.7321656210741667
1616395183.675 10.13 1616395183.672596 -0.6736970911433333
1616395183.775 10.17 1616395183.768544 -0.619940950192
1616395183.875 10.15 1616395183.879648 -0.5982988674713333
1616395183.975 10.22 1616395183.970448 -0.6080727112806666
1616395184.076 10.31 1616395184.077619 -0.6112143039336667
1616395184.175 10.3 1616395184.173847 -0.6077236454303333
1616395184.275 10.3 1616395184.269848 -0.5965535382196666
1616395184.376 10.37 1616395184.381808 -0.5824163712811667
1616395184.475 10.39 1616395184.478051 -0.5642649470638333
1616395184.575 10.42 1616395184.573917 -0.5354670144113334
1616395184.675 10.48 1616395184.669792 -0.507890812235
1616395184.775 10.53 1616395184.781732 -0.467050107746
1616395184.973 10.6 1616395184.973714 -0.3949680096521667
1616395185.076 10.72 1616395185.069878 -0.363377550197
1616395185.175 10.69 1616395185.181619 -0.2989749008105
1616395185.275 10.7 1616395185.277623 -0.2263692039411667
1616395185.375 10.69 1616395185.373771 -0.1708677337381667
1616395185.476 10.77 1616395185.482639 -0.1080358806781667
1616395185.575 10.84 1616395185.578724 -0.03857177646183333
1616395185.667 10.88 1616395185.673692 -0.01954768761866667
1616395185.775 10.89 1616395185.769735 0.05934119455666666
1616395186.174 11 1616395186.169749 0.2525491427161666
1616395186.474 11.13 1616395186.473955 0.3408628028505
1616395186.576 11.08 1616395186.56848 0.3598868916936667
1616395186.765 11.18 1616395186.759768 0.3928736145501667
1616395186.873 11.27 1616395186.871683 0.4380776421683333
1616395187.073 11.29 1616395187.079558 0.5386086070643333
1616395187.174 11.39 1616395187.175556 0.5846852993083334
1616395187.273 11.36 1616395187.271664 0.6344271829808333
1616395187.375 11.43 1616395187.367538 0.7049384847481667
1616395187.475 11.46 1616395187.477432 0.7557275659716667
1616395187.573 11.53 1616395187.57386 0.8002334618891667
1616395187.673 11.51 1616395187.669469 0.8456120224325
1616395187.776 11.6 1616395187.781739 0.8990190975335001
1616395187.877 11.64 1616395187.877379 0.9594074896411667
1616395187.975 11.66 1616395187.973435 1.0100220379395
1616395188.574 11.77 1616395188.575562 1.285609526777667
1616395188.676 11.82 1616395188.671664 1.311789465552667
1616395188.775 11.86 1616395188.767698 1.348615912762833
1616395188.973 11.86 1616395188.973329 1.406211778067833
1616395189.076 11.88 1616395189.06851 1.454382865413833
1616395189.273 11.89 1616395189.276591 1.5084880722155
1616395189.377 11.87 1616395189.372381 1.52890842446
1616395189.774 11.95 1616395189.771766 1.70693200813
1616395190.174 11.95 1616395190.171387 1.8849555918
1616395190.276 11.88 1616395190.283601 1.941155193703667
1616395190.375 11.83 1616395190.378145 1.997005729757
1616395190.475 11.81 1616395190.474461 1.992118807852333
1616395190.576 11.9 1616395190.569083 1.884606525949666
1616395190.675 11.9 1616395190.680215 1.722290905544667
1616395191.178 11.77 1616395191.172355 1.297826831539333
1616395191.365 11.69 1616395191.372292 1.074773753176333
1616395191.476 11.65 1616395191.482024 0.8758062184863333
1616395191.576 11.62 1616395191.573917 0.7536331708696666
1616395191.974 11.65 1616395191.971835 0.3844960341421667
1616395192.173 11.63 1616395192.166811 0.301592894688
1616395192.277 11.6 1616395192.275001 0.1373574121061667
1616395192.375 11.63 1616395192.380963 0.03263765700616666
1616395192.475 11.61 1616395192.470845 -0.04729842272016666
1616395192.575 11.56 1616395192.574923 -0.1616174887043333
1616395192.675 11.6 1616395192.668995 -0.1551597704731667
1616395192.775 11.63 1616395192.779099 -0.1576032314255
1616395193.966 11.99 1616395193.959033 0.097389372243
1616395194.865 12.25 1616395194.859352 0.4494222823041666
1616395194.976 12.34 1616395194.971231 0.5047492195819999
1616395195.075 12.37 1616395195.067459 0.5677556055671666
1616395195.175 12.45 1616395195.179409 0.6307619915523333
1616395195.276 12.38 1616395195.275544 0.6939429104626667
1616395195.373 12.44 1616395195.371237 0.7590436915498333
1616395195.473 12.43 1616395195.467352 0.7688175353591666
1616395195.573 12.46 1616395195.577217 0.6302383927768334
1616395195.677 12.47 1616395195.673451 0.5255186376768334
1616395195.873 12.4 1616395195.870923 0.3755948549586667
1616395196.474 12.43 1616395196.479463 -0.09302604911383333
1616395196.576 12.38 1616395196.569598 -0.1733111946905
1616395197.074 12.4 1616395197.073868 -0.7304202918225
1616395199.174 13.11 1616395199.175158 -0.1930334152343333
1616395199.674 13.32 1616395199.670829 -0.001221730476166667
1616395199.873 13.33 1616395199.874992 0.1293288975485
1616395200.165 13.44 1616395200.158945 0.286932128974
1616395201.665 13.63 1616395201.658881 0.2497566159135
1616395202.165 13.56 1616395202.167661 0.533023553459
1616395202.36 13.75 1616395202.358869 0.5899212870633332
1616395202.86 13.77 1616395202.856878 0.3817035073395
1616395202.977 13.84 1616395202.98256 0.228289066118
1616395205.177 14.28 1616395205.171837 -0.024085543673
1616395205.277 14.34 1616395205.283779 0.008028514557666667
1616395205.378 14.37 1616395205.379833 0.04729842272016666
1616395205.478 14.4 1616395205.475835 0.08901179183500001
1616395205.576 14.44 1616395205.571678 0.1261873048955
1616395205.676 14.46 1616395205.684131 0.1825614397243333
1616395205.778 14.55 1616395205.779758 0.212581102853
1616395206.168 14.63 1616395206.168549 0.1640609496566666
1616395206.477 14.64 1616395206.483899 -0.1701696020375
1616395206.877 14.58 1616395206.869917 -0.3207915164563334
1616395206.981 14.68 1616395206.98094 -0.290073721627
1616395207.078 14.71 1616395207.076581 -0.1977458042138333
1616395207.276 14.88 1616395207.276378 -0.1359611487048333
1616395207.37 0 1616395207.370741 -0.1118756050318333
1616395207.47 0 1616395207.465745 -0.09128071986216667
1616395207.57 14.87 1616395207.57758 -0.08395033700516667
1616395207.678 0 1616395207.673846 -0.04520402761816667
1616395207.968 0 1616395207.972499 0.039793506938
1616395208.07 15.03 1616395208.062319 0.08621926503233333
1616395208.18 15.09 1616395208.187574 0.1453859266638333
1616395208.28 15.16 1616395208.282576 0.1724385300646667
1616395208.378 15.11 1616395208.378631 0.194778744486
1616395208.476 15.18 1616395208.474553 0.2275909344173334
1616395208.576 15.28 1616395208.583615 0.2871066618991667
1616395208.676 15.3 1616395208.678519 0.2556907353691666
1616395208.776 15.27 1616395208.768245 0.1694714703368333
1616395208.876 15.17 1616395208.874022 0.08569566625683334
